city,tag,value,cnt
北京市,app_category,健康|运动健身,12
北京市,app_category,财经资讯,12
北京市,app_category,个护美容|女性身体管理,11
北京市,app_category,游戏|角色扮演,10
北京市,app_category,健康美容,10
北京市,app_category,影音|有声读物,9
北京市,app_category,社交通讯|社区论坛,9
北京市,app_category,社交通讯|电话,9
北京市,app_category,健康|健康医疗,9
北京市,app_category,红包助手,9
北京市,app_category,资讯|娱乐资讯,8
北京市,app_category,阅读|笑话,8
北京市,app_category,阅读|小说,8
北京市,app_category,图像服务,8
北京市,app_category,头像表情,8
北京市,app_category,时间闹钟,8
北京市,app_category,社交通讯|婚恋,8
北京市,app_category,健康,8
北京市,app_category,工作|笔记,8
北京市,app_category,实用工具,7
北京市,app_category,汽车服务,7
北京市,app_category,减肥瘦身,7
北京市,app_category,办公商务,7
北京市,app_category,预约挂号,6
北京市,app_category,音乐乐器,6
北京市,app_category,计算器,6
北京市,app_category,娱乐|电影,5
北京市,app_category,游戏|经营策略,5
北京市,app_category,新闻资讯,5
北京市,app_category,生活|日历,5
北京市,app_category,母婴,5
北京市,app_category,科技资讯,5
北京市,app_category,教育|教育平台,5
北京市,app_category,工作|备忘,5
北京市,app_category,字体美化,4
北京市,app_category,资讯|财经资讯,4
北京市,app_category,主题美化,4
北京市,app_category,育儿社区,4
北京市,app_category,移动音乐,4
北京市,app_category,星座运势,4
北京市,app_category,手机赚钱,4
北京市,app_category,社交通讯|其他,4
北京市,app_category,餐厅推荐,4
北京市,app_category,娱乐资讯,3
北京市,app_category,手机工具|驾照学习,3
北京市,app_category,汽车社区,3
北京市,app_category,名片管理,3
北京市,app_category,家政服务,3
北京市,app_category,装修服务,2
北京市,app_category,游戏|体育游戏,2
北京市,app_category,医疗服务,2
北京市,app_category,生活|占星运程,2
北京市,app_category,生活|其他,2
北京市,app_category,旅游出行|火车,2
北京市,app_category,军事资讯,2
北京市,app_category,资讯|科技资讯,1
北京市,app_category,智能汽车,1
北京市,app_category,网购,1
北京市,app_category,条形扫码,1
北京市,app_category,生活|快递,1
北京市,app_category,母婴|育儿,1
北京市,app_category,母婴|母婴社区,1
北京市,app_category,旅游出行|导航,1
北京市,app_category,工作|招聘求职,1
北京市,app_category,电话通讯,1
北京市,app_category,6,1
北京市,app_category,4,1
北京市,app_name,微信,1539
北京市,app_name,QQ,1324
北京市,app_name,支付宝,1191
北京市,app_name,手机淘宝,1039
北京市,app_name,WiFi万能钥匙,833
北京市,app_name,百度地图,823
北京市,app_name,QQ空间,822
北京市,app_name,微博,775
北京市,app_name,腾讯视频,762
北京市,app_name,爱奇艺,737
北京市,app_name,高德地图,716
北京市,app_name,优酷,700
北京市,app_name,京东,679
北京市,app_name,今日头条,648
北京市,app_name,QQ浏览器,599
北京市,app_name,搜狗输入法,565
北京市,app_name,WPS Office,527
北京市,app_name,滴滴出行,497
北京市,app_name,ofo共享单车,474
北京市,app_name,美团,468
北京市,app_name,腾讯新闻,455
北京市,app_name,QQ音乐,427
北京市,app_name,手机百度,413
北京市,app_name,快手,401
北京市,app_name,王者荣耀,399
北京市,app_name,360手机卫士,372
北京市,app_name,华为应用市场,348
北京市,app_name,芒果TV,346
北京市,app_name,应用宝,337
北京市,app_name,百度输入法,331
北京市,app_name,QQ邮箱,318
北京市,app_name,综合电商,312
北京市,app_name,摩拜单车,309
北京市,app_name,UC,308
北京市,app_name,抖音短视频,291
北京市,app_name,全民K歌,285
北京市,app_name,乐视视频,283
北京市,app_name,饿了么,279
北京市,app_name,酷狗音乐,273
北京市,app_name,墨迹天气,265
北京市,app_name,vivo应用商店,258
北京市,app_name,百度网盘,253
北京市,app_name,拼多多,250
北京市,app_name,哔哩哔哩,243
北京市,app_name,腾讯手机管家,241
北京市,app_name,酷我音乐,241
北京市,app_name,OPPO软件商店,239
北京市,app_name,网易云音乐,236
北京市,app_name,迅雷,235
北京市,app_name,猎豹清理大师,229
北京市,app_name,唯品会,214
北京市,app_name,MOMO陌陌,200
北京市,app_name,铁路12306,191
北京市,app_name,美图秀秀,188
北京市,app_name,讯飞语音+,184
北京市,app_name,有道词典,180
北京市,app_name,大众点评,175
北京市,app_name,开心消消乐,168
北京市,app_name,新浪新闻,167
北京市,app_name,火山小视频,167
北京市,app_name,北京移动手机营业厅,163
北京市,app_name,58同城,163
北京市,app_name,哔哩哔哩动画,162
北京市,app_name,360手机助手,162
北京市,app_name,天猫,160
北京市,app_name,Faceu激萌,160
北京市,app_name,猎豹浏览器,159
北京市,app_name,网易新闻,157
